[2019/01/16 13:25:48,255] [ERROR] [cn.zzdz.error.ExceptionController:38] - code:404 message:404 exception:null
[2019/01/16 13:26:21,229] [ WARN] [cn.zzdz.aspect.WebLogAspect:38] - waring
[2019/01/16 13:26:21,230] [ERROR] [cn.zzdz.aspect.WebLogAspect:40] - error
[2019/01/16 13:26:21,230] [ INFO] [cn.zzdz.aspect.WebLogAspect:42] - WebLogAspect.doBefore()
[2019/01/16 13:26:21,231] [ INFO] [cn.zzdz.aspect.WebLogAspect:50] - URL : http://localhost:8080/test/validate1
[2019/01/16 13:26:21,231] [ INFO] [cn.zzdz.aspect.WebLogAspect:52] - HTTP_METHOD : GET
[2019/01/16 13:26:21,231] [ INFO] [cn.zzdz.aspect.WebLogAspect:54] - IP : 0:0:0:0:0:0:0:1
[2019/01/16 13:26:21,233] [ INFO] [cn.zzdz.aspect.WebLogAspect:56] - CLASS_METHOD : cn.zzdz.usercontroller.UserController.validate1
[2019/01/16 13:26:21,234] [ INFO] [cn.zzdz.aspect.WebLogAspect:59] - ARGS : [qqq, 18]
[2019/01/16 13:26:21,237] [ INFO] [cn.zzdz.aspect.WebLogAspect:76] - url = {} end of execution:   http://localhost:8080/test/validate1
[2019/01/16 13:26:21,237] [ INFO] [cn.zzdz.aspect.WebLogAspect:83] - WebLogAspect.doAfterReturning()
